	type	p	R0	infectious period
77	real	0.35635665890249796	2.434309025003	5.89769536473822
77	CNN-CBLV		2.710053	6.52770891607587
77	CNN-CBLV (trained on large trees)		2.1933615	5.78030909038049
78	real	0.9851690465124109	2.38601437510127	3.9979380421630495
78	FFNN-SS		2.2870687999999997	3.44292334718932
78	real-subtrees	0.9851690465124109	2.38601437510127	3.9979380421630495
78	FFNN-SS (trained on large trees)		2.232335	3.3912916534235493
78	CNN-CBLV (trained on large trees)		2.1625144	3.35472796738556
78	CNN-CBLV		2.4477307999999995	3.5738005545837797
79	CNN-CBLV		2.02957	4.968581670169599
79	FFNN-SS (trained on large trees)		1.8640672999999999	4.565281276056731
79	real	0.30554189750184196	1.95919360378418	4.63211291198352
79	CNN-CBLV (trained on large trees)		1.6727266	4.21048570641254
79	FFNN-SS		1.9538215	4.78449886138613
79	real-subtrees	0.30554189750184196	1.95919360378418	4.63211291198352
80	FFNN-SS (trained on large trees)		1.8306787	3.01675011909476
80	real	0.953398721667511	2.54021493370537	3.55983898459189
80	CNN-CBLV (trained on large trees)		1.1027026000000002	1.5575256992631599
80	CNN-CBLV		2.2824535	3.48971652848476
80	real-subtrees	0.953398721667511	2.54021493370537	3.55983898459189
80	FFNN-SS		2.4472568	3.6496430401930295
81	real	0.137670843251394	2.29166625787169	1.23376532450305
81	FFNN-SS (trained on large trees)		1.8670582999999998	1.0284589500533399
81	FFNN-SS		2.0084493	1.08802687051643
81	CNN-CBLV (trained on large trees)		1.6683574	0.9100690447480358
81	CNN-CBLV		1.9842971999999999	1.05215067086302
81	real-subtrees	0.137670843251394	2.29166625787169	1.23376532450305
82	CNN-CBLV		4.441357599999999	6.63640055674695
82	FFNN-SS		4.3905797	6.4951245952165495
82	real	0.3767234651066071	4.6363712015036604	6.341437837808349
82	real-subtrees	0.3767234651066071	4.6363712015036604	6.341437837808349
82	CNN-CBLV (trained on large trees)		4.3715877999999995	6.42801565035442
82	FFNN-SS (trained on large trees)		4.433029	6.560475112960741
83	real-subtrees	0.4010429751077171	1.78462847847957	6.828265411197231
83	CNN-CBLV (trained on large trees)		1.4231062	6.11895279327646
83	FFNN-SS (trained on large trees)		1.6424706999999998	6.688979606898919
83	CNN-CBLV		1.629261	6.6188327220868
83	real	0.4010429751077171	1.78462847847957	6.828265411197231
83	FFNN-SS		1.6527741999999999	6.78775721775591
84	FFNN-SS		1.6549267	1.6098885478946101
84	real-subtrees	0.332405520080114	1.38157435175997	1.3149155406547
84	real	0.332405520080114	1.38157435175997	1.3149155406547
84	FFNN-SS (trained on large trees)		1.6121638999999999	1.5651246139435402
84	CNN-CBLV		1.6692741000000002	1.6003129839408503
84	CNN-CBLV (trained on large trees)		1.284518	1.34601163377688
85	FFNN-SS		4.1599174	2.23545142400848
85	real	0.6968741192702231	3.58840710806827	2.07346216083779
85	FFNN-SS (trained on large trees)		4.119451000000001	2.21579370774944
85	CNN-CBLV (trained on large trees)		4.204981	2.2459815864299197
85	real-subtrees	0.6968741192702231	3.58840710806827	2.07346216083779
85	CNN-CBLV		4.0567063999999995	2.2159233852696203
86	real	0.41984783121969604	1.0000498657399	6.47064464044587
86	FFNN-SS		1.1639267	6.64492850191342
86	FFNN-SS (trained on large trees)		1.1598462	6.622751728162839
86	real-subtrees	0.41984783121969604	1.0000498657399	6.47064464044587
86	CNN-CBLV		1.2180718000000001	6.87077795926008
86	CNN-CBLV (trained on large trees)		1.0861053	6.25412149033583
87	CNN-CBLV		1.5302978999999999	4.25094079351323
87	real-subtrees	0.296046977485937	1.6478130908668203	4.66038576967884
87	FFNN-SS (trained on large trees)		1.4559978	4.03080008899196
87	CNN-CBLV (trained on large trees)		1.2593809999999999	3.40027923433828
87	FFNN-SS		1.5079253000000001	4.13451959634476
87	real	0.296046977485937	1.6478130908668203	4.66038576967884
88	CNN-CBLV		3.4771769999999997	6.07340406502005
88	CNN-CBLV (trained on large trees)		3.3800116	5.775263172031009
88	real-subtrees	0.07203994753346901	4.626741321656031	7.9337314874194504
88	FFNN-SS (trained on large trees)		3.3976545	6.0913182481832395
88	real	0.07203994753346901	4.626741321656031	7.9337314874194504
88	FFNN-SS		3.6897085	6.33999070511209
89	real-subtrees	0.420820146506498	1.94486854804255	4.38898084077135
89	CNN-CBLV		2.238079	4.60329696481635
89	CNN-CBLV (trained on large trees)		2.2076461	4.76507338001761
89	real	0.420820146506498	1.94486854804255	4.38898084077135
89	FFNN-SS		2.1264608	4.5948123845690505
89	FFNN-SS (trained on large trees)		2.130818	4.60570200511812
90	FFNN-SS		2.630634	5.40319635908332
90	CNN-CBLV (trained on large trees)		2.5659485	5.294431401175411
90	FFNN-SS (trained on large trees)		2.576116	5.33070469678057
90	real-subtrees	0.7401487064249979	2.3994078455372403	5.115870540700031
90	CNN-CBLV		2.7193258	5.49072866518884
90	real	0.7401487064249979	2.3994078455372403	5.115870540700031
91	real	0.272797045770663	2.13063045033147	5.77550201504798
91	CNN-CBLV (trained on large trees)		1.7266044999999999	4.7966864577967
91	FFNN-SS (trained on large trees)		1.9734262999999999	5.30609124453865
91	FFNN-SS		2.1237276	5.56283155315846
91	real-subtrees	0.272797045770663	2.13063045033147	5.77550201504798
91	CNN-CBLV		2.0368574	5.317885389989531
92	FFNN-SS (trained on large trees)		1.1321738000000001	9.813887534531212
92	FFNN-SS		1.2301121000000002	10.017367197203901
92	CNN-CBLV (trained on large trees)		1.0461524	8.14529899059164
92	real	0.282459814655931	1.06754145970928	9.14364595823151
92	CNN-CBLV		1.2115579	9.948684823573931
92	real-subtrees	0.282459814655931	1.06754145970928	9.14364595823151
93	FFNN-SS (trained on large trees)		2.7408352000000002	9.22726984664691
93	real	0.614203007900118	2.71518391300876	9.29206228933371
93	FFNN-SS		2.7477009999999997	9.24918168342616
93	CNN-CBLV (trained on large trees)		2.6756467999999995	9.07888608807644
93	CNN-CBLV		2.5329921000000004	8.825713604295
93	real-subtrees	0.614203007900118	2.71518391300876	9.29206228933371
94	CNN-CBLV (trained on large trees)		3.2340012000000002	6.731525057553211
94	real-subtrees	0.521607132263805	4.81543253874603	8.763869980071759
94	FFNN-SS (trained on large trees)		3.876099	7.7342790550159695
94	FFNN-SS		4.025879	7.9217406738336305
94	real	0.521607132263805	4.81543253874603	8.763869980071759
94	CNN-CBLV		3.9074413999999997	7.73552282338889
95	FFNN-SS (trained on large trees)		1.4657639999999998	2.2494943555987597
95	real-subtrees	0.33204342183981395	1.6985435934449	2.6792641431570297
95	FFNN-SS		1.55539	2.37254271626289
95	real	0.33204342183981395	1.6985435934449	2.6792641431570297
95	CNN-CBLV		1.5325089	2.34535118733021
95	CNN-CBLV (trained on large trees)		1.1839156000000002	1.8338332197234
96	real-subtrees	0.263741406449349	2.20841506519719	1.5299587233969398
96	real	0.263741406449349	2.20841506519719	1.5299587233969398
96	CNN-CBLV		2.400185	1.7019275147431396
96	FFNN-SS		2.41105	1.6947986570800802
96	CNN-CBLV (trained on large trees)		2.2531830000000004	1.60518545689447
96	FFNN-SS (trained on large trees)		2.3382807	1.6795388803070102
97	real	0.068090881924066	1.33751792814174	5.85946230417049
97	CNN-CBLV		1.3460563	6.277550233551401
97	FFNN-SS (trained on large trees)		1.2504311000000001	6.0688668668413195
97	real-subtrees	0.068090881924066	1.33751792814174	5.85946230417049
97	FFNN-SS		1.3220702	6.0709533386726
97	CNN-CBLV (trained on large trees)		1.1304291000000002	5.23963427624703
98	real	0.533556571149786	1.68470122712917	8.19667989753028
98	CNN-CBLV		2.0315645	9.68196193847742
98	FFNN-SS (trained on large trees)		1.9147035	9.377906825291038
98	real-subtrees	0.533556571149786	1.68470122712917	8.19667989753028
98	FFNN-SS		1.9503192999999999	9.45818330935721
98	CNN-CBLV (trained on large trees)		1.9102557	9.282911964990529
99	CNN-CBLV		3.912351	7.9725474304001995
99	FFNN-SS		3.993804	7.87845262848729
99	real	0.965673770293207	4.941545802105701	9.32758387736305
99	real-subtrees	0.965673770293207	4.941545802105701	9.32758387736305
99	CNN-CBLV (trained on large trees)		3.8082566	7.771323863917179
99	FFNN-SS (trained on large trees)		3.8392171999999998	7.71780517222533
